kind,key,source,line,render_type,layer,parameters,directives,dependencies,effect_calls
particle,general_white_circle,__main.particle,25,CIRCLE,,,,,
particle,general_white_circle_l,__main.particle,44,,,,CLONE,general_white_circle,
timeline,general_circle_t,__main.particle,53,,,cx;cy;maxt;saf,,general_circle_dot,
particle,general_circle_t,__main.particle,62,CIRCLE,TOP,,,,
particle,general_circle_dot,__main.particle,79,DOT,TOP,,,,
particle,foot_leaf,__main.particle,101,LEAF,NORMAL,,,,
particle,foot_water,__main.particle,154,WATER_SPLASH,NORMAL,,CLONE,foot_leaf,
particle,foot_water_splash_dot,__main.particle,195,DOT,ADD,,CLONE,foot_water,
particle,chip_water_splash_dot,__main.particle,218,,TOP_ADD,,CLONE,foot_water_splash_dot,
particle,run_start_sunabokori,__main.particle,243,SUNABOKORI,NORMAL,,,,
particle,run_end_sunabokori,__main.particle,268,SUNABOKORI,NORMAL,,,,
particle,evade_sunabokori,__main.particle,293,,,,CLONE,run_end_sunabokori,
timeline,evade_init,__main.particle,302,,,aim_agR;cnt;foot_exist;maxt;mbottom;x;y,CALCPOS;EFT;PVIB;SND;WAIT,evade_sunabokori,dash_afterimage
timeline,sliding_sunabokori,__main.particle,326,,,aim_agR;cnt;foot_exist;mbottom;x,CALCPOS;SND;WAIT,,
timeline,slopeslide_sunabokori,__main.particle,346,,,agR;ax;cnt;foot_exist;mbottom;x,CALCPOS;SND;WAIT,run_start_sunabokori,
particle,sliding_sunabokori,__main.particle,364,,,,CLONE,run_end_sunabokori,
timeline,hit_tackle_wall,__main.particle,377,,,ax;x;y,SND,hit_tackle_wall_circle;hit_tackle_wall_dot,
timeline,hit_tackle_hard_enemy,__main.particle,384,,,ax;x;y,SND,hit_tackle_wall_circle;hit_tackle_wall_dot,
timeline,hit_shotgun_wall,__main.particle,391,,,ax;x;y,SND,hit_shotgun_wall_circle;hit_shotgun_wall_dot,
particle,hit_tackle_wall_circle,__main.particle,400,BOMBCIRCLE,TOP,,,,
particle,hit_tackle_wall_dot,__main.particle,429,LINE,TOP,,,,
particle,hit_shotgun_wall_circle,__main.particle,452,,,,CLONE,hit_tackle_wall_circle,
particle,hit_shotgun_wall_dot,__main.particle,458,,,,CLONE,hit_tackle_wall_dot,
particle,gacha_release,__main.particle,465,CIRCLE,,,,,
particle,ui_saved,__main.particle,488,CIRCLE,,,,,
particle,wmng_fall_inject,__main.particle,517,OVAL,TOP,,,,
particle,wmng_fall_hit,__main.particle,564,OVAL,TOP,,,,
timeline,water_choked,__main.particle,608,,,mx;my,SND,water_choked_bubble,
