key,source,line
LEAF,nel/EffectItemNel.cs,53
WATER_SPLASH,nel/EffectItemNel.cs,54
SMOKE,nel/EffectItemNel.cs,55
SMOKE_L,nel/EffectItemNel.cs,56
PARTICLE_SPLASH,nel/EffectItemNel.cs,57
PARTICLE_SPLASH_F,nel/EffectItemNel.cs,58
NOEL_BREAK_CLOTH,nel/EffectItemNel.cs,59
KISS,nel/EffectItemNel.cs,60
BIKUBIKU,nel/EffectItemNel.cs,61
BIKUBIKU_S,nel/EffectItemNel.cs,62
BUBBLE_S,nel/EffectItemNel.cs,63
BUBBLE_SURFACE,nel/EffectItemNel.cs,64
PARTICLE_HEART,nel/EffectItemNel.cs,65
HEART,nel/EffectItemNel.cs,66
SLEEPING_Z,nel/EffectItemNel.cs,67
CONFUSING,nel/EffectItemNel.cs,68
SABI,nel/EffectItemNel.cs,69
SURIKEN,nel/EffectItemNel.cs,70
SHOCKWAVE_PIC,nel/EffectItemNel.cs,71
FRAMERIPPLE,nel/EffectItemNel.cs,72
SNOWDROP,nel/EffectItemNel.cs,73
BIGBOMB,nel/EffectItemNel.cs,74
ENEMYTARGETTING,nel/EffectItemNel.cs,75
SPERMSHOT,nel/EffectItemNel.cs,76
CYLINDER_GRD,nel/EffectItemNel.cs,77
CROSS,XX/EffectItem.cs,85
SUNABOKORI,XX/EffectItem.cs,86
